feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
g__Saccharimonadales	group	LPRD	1.3236727755358	0.434937959365537	151	140	0.0027661750419756	0.0255931870642064	Zheng_2024	LPRD
g__Eikenella	group	LPRD	-1.15123253234583	0.37845880352901	151	97	0.00277885763203622	0.0255931870642064	Zheng_2024	LPRD
g__F0332	group	LPRD	0.508814081627358	0.168214490359329	151	26	0.00293111129166443	0.0263800016249798	Zheng_2024	LPRD
g__Lachnospiraceae_UCG.006	group	LPRD	-0.599717200681435	0.198654345942654	151	26	0.00298535042778573	0.0263967827298949	Zheng_2024	LPRD
g__Subdoligranulum	group	LPRD	1.13125372625409	0.379729332176831	151	37	0.0033763209840018	0.02884179281249	Zheng_2024	LPRD
g__Alcaligenes	group	LPRD	-0.649266624911143	0.217850417477903	151	32	0.00336359527969044	0.02884179281249	Zheng_2024	LPRD
g__Family_XIII_UCG.001	group	LPRD	0.791461919342352	0.270092339655793	151	82	0.00391952261621769	0.0329239899762286	Zheng_2024	LPRD
g__Anaerostipes	group	LPRD	0.970370765173666	0.33328229141036	151	33	0.00414928452016276	0.0342826130846234	Zheng_2024	LPRD
g__Peptostreptococcus	group	LPRD	0.659490367566225	0.229752598933849	151	151	0.00469607131744825	0.0381745152257084	Zheng_2024	LPRD
Unclassified_f__Veillonellaceae	group	LPRD	-0.627436433933892	0.222507811107195	151	25	0.00545897531772689	0.0436718025418151	Zheng_2024	LPRD
g__.Eubacterium._siraeum_group	group	LPRD	0.874447286289856	0.311825411725017	151	17	0.00571528534004555	0.0450078720528587	Zheng_2024	LPRD
g__Dorea	group	LPRD	0.859106453924989	0.307485665276226	151	35	0.00589120262064817	0.0450206161011979	Zheng_2024	LPRD
g__JG30.KF.CM66	group	LPRD	0.683438139067517	0.245083365106937	151	40	0.00598488348964337	0.0450206161011979	Zheng_2024	LPRD
g__uncultured.142	group	LPRD	0.553293631582075	0.198384495710494	151	29	0.00597783804774392	0.0450206161011979	Zheng_2024	LPRD
Unclassified_f__Saccharimonadaceae	group	LPRD	-0.513523485801388	0.186812378038598	151	48	0.00671990778449244	0.0498063753438851	Zheng_2024	LPRD
g__Antarcticibacterium	group	LPRD	-0.444274251127439	0.163079975216494	151	16	0.00721529353613778	0.0527030136552673	Zheng_2024	LPRD
g__Lachnospiraceae_UCG.010	group	LPRD	0.563301003621039	0.209629966927695	151	20	0.00802634785137472	0.0571797497387271	Zheng_2024	LPRD
g__Alysiella	group	LPRD	-1.22058967571711	0.454448919971706	151	104	0.00805508379255878	0.0571797497387271	Zheng_2024	LPRD
g__Lachnospiraceae_NK4A136_group	group	LPRD	1.12623408574087	0.422090668444043	151	68	0.00846965557414637	0.0592875890190246	Zheng_2024	LPRD
g__TM7x	group	LPRD	-0.777230414453272	0.294044150709808	151	149	0.00908982608295211	0.0627571554220255	Zheng_2024	LPRD
Unclassified_f__Rhodanobacteraceae	group	LPRD	-0.574114383273593	0.222970945324707	151	28	0.011002684001886	0.0749371991479805	Zheng_2024	LPRD
g__uncultured.152	group	LPRD	-1.32827217362866	0.521750390806221	151	54	0.0119186948307405	0.0800936292625765	Zheng_2024	LPRD
g__Cohnella	group	LPRD	-0.673241749935416	0.26511317614081	151	32	0.012127866524772	0.0804269043221722	Zheng_2024	LPRD
g__Prevotellaceae	group	LPRD	-0.421207884036602	0.169601844228109	151	25	0.014117395172457	0.0924047684015364	Zheng_2024	LPRD
g__Mitochondria	group	LPRD	0.610978137757902	0.247490049120383	151	30	0.0146907302038092	0.0949247182399976	Zheng_2024	LPRD
g__Candidatus_Soleaferrea	group	LPRD	-0.35495785322131	0.144197486240737	151	22	0.0149723724023501	0.0955199454529679	Zheng_2024	LPRD
g__.Eubacterium._saphenum_group	group	LPRD	0.688875702174794	0.280815062537354	151	60	0.015315588066391	0.0964882048182631	Zheng_2024	LPRD
g__UBA1819	group	LPRD	-0.463984735527968	0.189761240744944	151	43	0.0156471146641672	0.0973598245770401	Zheng_2024	LPRD
g__uncultured.27	group	LPRD	1.22178179982489	0.506526461187979	151	74	0.0170779413703908	0.104958557521004	Zheng_2024	LPRD
g__Bergeyella	group	LPRD	0.852247464077743	0.353995525854231	151	138	0.0172848418139748	0.104958557521004	Zheng_2024	LPRD
g__Ileibacterium	group	LPRD	-1.00877122455535	0.423688566852907	151	55	0.0185330077588106	0.111198046552864	Zheng_2024	LPRD
g__Desulfovibrio	group	LPRD	-0.726053540630525	0.307357680854552	151	44	0.0194572921576804	0.11537029702906999	Zheng_2024	LPRD
g__Lachnospira	group	LPRD	0.537151689331374	0.229937074251529	151	21	0.0208198423522381	0.122013959831721	Zheng_2024	LPRD
g__PB19	group	LPRD	0.256095678407179	0.109970032605559	151	16	0.0212149649347127	0.122900486518336	Zheng_2024	LPRD
g__Monoglobus	group	LPRD	0.989470000035552	0.427568717412185	151	70	0.022024521355007	0.126140440487768	Zheng_2024	LPRD
g__Gracilibacteria	group	LPRD	0.571207765793621	0.24966051261473	151	28	0.023547982586745	0.133350373300219	Zheng_2024	LPRD
g__Pseudopropionibacterium	group	LPRD	-0.422394261277902	0.185656112672533	151	33	0.0243237791211977	0.134716315132788	Zheng_2024	LPRD
Unclassified_NA.17	group	LPRD	0.384338667296731	0.168916063297816	151	30	0.02431270709385	0.134716315132788	Zheng_2024	LPRD
g__Nitriliruptoraceae	group	LPRD	0.368539552699173	0.165906905147899	151	32	0.0278344806856084	0.150771345768089	Zheng_2024	LPRD
g__Mycoplasma	group	LPRD	0.778684315434552	0.350587792619073	151	81	0.027853949445042	0.150771345768089	Zheng_2024	LPRD
g__Chloroplast	group	LPRD	0.881983394247352	0.398548669781952	151	97	0.0284192020793025	0.150771345768089	Zheng_2024	LPRD
g__Nitrososphaeraceae	group	LPRD	0.253650200985762	0.114595489499268	151	18	0.0283873951758749	0.150771345768089	Zheng_2024	LPRD
g__Prevotellaceae_UCG.003	group	LPRD	0.457358589855538	0.207109619849666	151	29	0.0287516636364392	0.150946234091306	Zheng_2024	LPRD
g__.Eubacterium._hallii_group	group	LPRD	0.819970011013214	0.377796458028183	151	31	0.0315604373205713	0.16398412793369	Zheng_2024	LPRD
g__Subgroup_9	group	LPRD	-0.493786515654323	0.229855464814912	151	22	0.0333103934476688	0.171310594873725	Zheng_2024	LPRD
Unclassified_f__Eggerthellaceae	group	LPRD	-0.666369811349696	0.312161101921254	151	49	0.0344215173287438	0.17515657475357	Zheng_2024	LPRD
g__Candidatus_Stoquefichus	group	LPRD	0.566147312934802	0.265706308629361	151	25	0.0347532886415813	0.17515657475357	Zheng_2024	LPRD
g__Saccharimonadaceae	group	LPRD	-0.6369619840377	0.300804280147137	151	37	0.0358752681288605	0.177266030754369	Zheng_2024	LPRD
g__Desulfuromusa	group	LPRD	-0.274303235828788	0.129478888407373	151	18	0.0357902483581448	0.177266030754369	Zheng_2024	LPRD
g__uncultured.30	group	LPRD	-0.806348665607055	0.384719547174717	151	93	0.0377782635512868	0.18485674592086	Zheng_2024	LPRD
Unclassified_NA.5	group	LPRD	0.647312590873875	0.312580178264099	151	149	0.0400961415154662	0.194312070421105	Zheng_2024	LPRD
Unclassified_f__Micromonosporaceae	group	LPRD	0.624000160344699	0.303214051023922	151	22	0.0413371857167603	0.198418491440449	Zheng_2024	LPRD
g__Enterobacter	group	LPRD	-0.308598685295931	0.150375079496913	151	16	0.0419011007681813	0.199227875350598	Zheng_2024	LPRD
g__Comamonas	group	LPRD	-0.766333956393071	0.37473244229846697	151	82	0.0426129458684278	0.200718922595212	Zheng_2024	LPRD
g__Hyphomicrobium	group	LPRD	0.416130818073921	0.204539970877273	151	24	0.043677556829891	0.203828598539491	Zheng_2024	LPRD
g__Cutibacterium	group	LPRD	-0.274321885379866	0.137496938408833	151	19	0.0478540623688693	0.217779185927796	Zheng_2024	LPRD
g__Lachnospiraceae_NC2004_group	group	LPRD	0.22454596943886	0.112417878613063	151	16	0.0475999494199309	0.217779185927796	Zheng_2024	LPRD
Unclassified_f__Neisseriaceae	group	LPRD	-0.759219654267847	0.380728540986513	151	115	0.0479632730912409	0.217779185927796	Zheng_2024	LPRD
g__Bulleidia	group	LPRD	0.483829344236027	0.246391378788483	151	39	0.0514306978396551	0.227519865155351	Zheng_2024	LPRD
g__Erysipelatoclostridium	group	LPRD	-0.521048312862467	0.265382269969108	151	37	0.0514628266422817	0.227519865155351	Zheng_2024	LPRD
g__JG30.KF.CM45	group	LPRD	0.445701639502251	0.22650740179477	151	39	0.0509576277807352	0.227519865155351	Zheng_2024	LPRD
g__F0058	group	LPRD	0.56536337830981	0.289471036477645	151	142	0.0526824516563034	0.230886570737191	Zheng_2024	LPRD
g__Fimbriimonadaceae	group	LPRD	0.360247362052142	0.186537744008792	151	30	0.0553529605748678	0.238641052552567	Zheng_2024	LPRD
g__Simonsiella	group	LPRD	-0.613276312754301	0.317746423955865	151	40	0.0554964770116547	0.238641052552567	Zheng_2024	LPRD
Unclassified_f__Enterobacteriaceae	group	LPRD	-0.842022237148131	0.436941443593503	151	80	0.0558723099230216	0.238641052552567	Zheng_2024	LPRD
g__Terrisporobacter	group	LPRD	0.585127955472933	0.305348180765151	151	37	0.0572461250347651	0.242454176617829	Zheng_2024	LPRD
g__Bifidobacterium	group	LPRD	0.876802978589615	0.459628007737061	151	84	0.0583621714315838	0.245121120012652	Zheng_2024	LPRD
g__Dubosiella	group	LPRD	-1.07909431461946	0.567616091149041	151	60	0.0592198131485655	0.246667651461793	Zheng_2024	LPRD
g__.Eubacterium._nodatum_group	group	LPRD	0.402456142644669	0.21634435116022	151	149	0.0648203593265707	0.265605374801558	Zheng_2024	LPRD
g__Defluviicoccus	group	LPRD	0.33963477908442	0.182525673708787	151	18	0.0647501401493966	0.265605374801558	Zheng_2024	LPRD
g__Psychrobacter	group	LPRD	-0.381990216053131	0.208734227929215	151	16	0.0692436995754904	0.281442133758445	Zheng_2024	LPRD
g__.Eubacterium._yurii_group	group	LPRD	0.628532810120859	0.351515517497234	151	121	0.0757976758554822	0.30415525100981	Zheng_2024	LPRD
g__Paracoccus	group	LPRD	-0.253172258759208	0.141707792736401	151	16	0.0760388127524526	0.30415525100981	Zheng_2024	LPRD
g__Incertae_Sedis	group	LPRD	0.488002609770075	0.276465097810954	151	43	0.0795870133076496	0.315841375646105	Zheng_2024	LPRD
g__Oribacterium	group	LPRD	0.290839286173233	0.165646523485616	151	151	0.0811803767007833	0.318228101002501	Zheng_2024	LPRD
g__uncultured.147	group	LPRD	0.220659395226494	0.125788824215106	151	22	0.081451240137545	0.318228101002501	Zheng_2024	LPRD
g__Coprococcus	group	LPRD	0.81951056619834906	0.468352479750881	151	80	0.0822161847676509	0.318745824022277	Zheng_2024	LPRD
g__Anaerosporobacter	group	LPRD	0.540252700009267	0.31277457092488	151	34	0.0861876214532008	0.331592070323765	Zheng_2024	LPRD
g__Anaerotruncus	group	LPRD	-0.525622936098807	0.305140576579205	151	46	0.0870429820872765	0.332345931605965	Zheng_2024	LPRD
g__Acetitomaculum	group	LPRD	0.511844242002894	0.301533393356556	151	50	0.0916953159386142	0.347476986714749	Zheng_2024	LPRD
g__Fusobacterium	group	LPRD	0.372517576086884	0.224157828585218	151	151	0.0986445512954322	0.368272991502947	Zheng_2024	LPRD
g__Lachnospiraceae_UCG.001	group	LPRD	0.43585881639921	0.262213455601709	151	17	0.0985692206311484	0.368272991502947	Zheng_2024	LPRD
g__Faecalibaculum	group	LPRD	-0.632458896052719	0.381618972620742	151	62	0.0995619832342048	0.368964996691465	Zheng_2024	LPRD
g__Truepera	group	LPRD	0.283981466763151	0.172962199744203	151	19	0.102725901946184	0.377911347305669	Zheng_2024	LPRD
Unclassified_f__Microbacteriaceae	group	LPRD	-0.653448079529634	0.403593733848529	151	37	0.107546114446645	0.383802552785532	Zheng_2024	LPRD
g__Solobacterium	group	LPRD	0.252100380873243	0.155032001884035	151	151	0.106037636871191	0.383802552785532	Zheng_2024	LPRD
g__.Eubacterium._xylanophilum_group	group	LPRD	0.307921211455525	0.189479068808822	151	30	0.106256023770877	0.383802552785532	Zheng_2024	LPRD
g__OM27_clade	group	LPRD	0.352341656058874	0.217986527668231	151	42	0.108134846221321	0.383802552785532	Zheng_2024	LPRD
g__Nitrococcus	group	LPRD	0.248573335558609	0.15313576858003	151	20	0.106655804411709	0.383802552785532	Zheng_2024	LPRD
g__Turicibacter	group	LPRD	-0.669852010288892	0.419843873716484	151	76	0.112724076374461	0.389320240669198	Zheng_2024	LPRD
g__Lactobacillus	group	LPRD	-0.920028568122838	0.575396610793359	151	100	0.111950812091625	0.389320240669198	Zheng_2024	LPRD
g__.Eubacterium._brachy_group	group	LPRD	0.532011230721214	0.334176091560183	151	110	0.113502080708536	0.389320240669198	Zheng_2024	LPRD
g__11.24	group	LPRD	0.313488858528577	0.195373055988	151	37	0.110706977399202	0.389320240669198	Zheng_2024	LPRD
g__Thermomonas	group	LPRD	-0.301707398324967	0.189539959503351	151	16	0.113551736861849	0.389320240669198	Zheng_2024	LPRD
g__Ellin6067	group	LPRD	-0.551529453815217	0.349016872237119	151	66	0.116173077401489	0.39561642574561	Zheng_2024	LPRD
g__Adhaeribacter	group	LPRD	0.282934044284405	0.179460178611632	151	27	0.117012084233214	0.395799264788858	Zheng_2024	LPRD
g__0319.7L14	group	LPRD	-0.348681488943576	0.223294660077267	151	38	0.120520024267063	0.39700713876209	Zheng_2024	LPRD
g__Anaeroglobus	group	LPRD	-0.624821326813081	0.398952529499905	151	91	0.119433778924146	0.39700713876209	Zheng_2024	LPRD
Unclassified_NA.24	group	LPRD	0.174905923191208	0.111983961252431	151	18	0.120436845278452	0.39700713876209	Zheng_2024	LPRD
g__wb1.P19	group	LPRD	-0.321548564063575	0.204767433352812	151	44	0.118463937679911	0.39700713876209	Zheng_2024	LPRD
g__Kribbella	group	LPRD	-0.279389769163372	0.179526369886661	151	30	0.121767704199799	0.39851248647207	Zheng_2024	LPRD
g__Paenibacillus	group	LPRD	-0.516237959291323	0.332987042644505	151	58	0.123185097635193	0.400550252955724	Zheng_2024	LPRD
g__UCG.005	group	LPRD	0.963389856546937	0.627627629066559	151	96	0.126911790186041	0.410022706754903	Zheng_2024	LPRD
g__Novibacillus	group	LPRD	0.154203242629662	0.101118030424173	151	18	0.129383201264859	0.415344798964899	Zheng_2024	LPRD
Unclassified_f__Anaerovoracaceae	group	LPRD	-0.252261626591366	0.16665743259156	151	19	0.132232021744648	0.421803411134827	Zheng_2024	LPRD
g__CAG.352	group	LPRD	0.468884248820551	0.31153856109202	151	23	0.134425527724888	0.426103559580776	Zheng_2024	LPRD
g__Actinomyces	group	LPRD	0.350287923485931	0.234634304392308	151	151	0.137575173493475	0.430664411486023	Zheng_2024	LPRD
g__Noviherbaspirillum	group	LPRD	-0.373933978999141	0.251019987400701	151	20	0.138427846549079	0.430664411486023	Zheng_2024	LPRD
g__uncultured.140	group	LPRD	-0.665708458435892	0.444979261170286	151	84	0.13675737769517	0.430664411486023	Zheng_2024	LPRD
g__Subgroup_15	group	LPRD	0.228034451260538	0.154061004013953	151	20	0.140942725894595	0.435798367183288	Zheng_2024	LPRD
g__Fimbriimonadales	group	LPRD	0.173360776300445	0.117651000719897	151	18	0.142721107545486	0.43860633050564	Zheng_2024	LPRD
g__IS.44	group	LPRD	-0.311911619678288	0.212278777555332	151	28	0.143846385260514	0.439385322250296	Zheng_2024	LPRD
g__0319.6G20	group	LPRD	-0.312962589391602	0.213664458836043	151	38	0.145099041241399	0.440541667383526	Zheng_2024	LPRD
g__Allobaculum	group	LPRD	0.506509439033684	0.350816223882586	151	53	0.150893781135977	0.447355680544307	Zheng_2024	LPRD
g__uncultured.39	group	LPRD	-0.333537975150722	0.230408763855746	151	34	0.149831867091272	0.447355680544307	Zheng_2024	LPRD
g__EPR3968.O8a.Bc78	group	LPRD	0.24011389953757	0.165512573148594	151	24	0.148957286157667	0.447355680544307	Zheng_2024	LPRD
g__Massilia	group	LPRD	-0.433233582116041	0.300035317236114	151	36	0.150854679962858	0.447355680544307	Zheng_2024	LPRD
g__uncultured.32	group	LPRD	0.346526838129889	0.240613498904454	151	34	0.151914246580908	0.447747253080571	Zheng_2024	LPRD
g__DS.100	group	LPRD	-0.231340527802641	0.161532934917512	151	20	0.154193385198396	0.451822477558091	Zheng_2024	LPRD
g__Nitrosarchaeum	group	LPRD	0.195995703222349	0.137306872088703	151	20	0.155548908497989	0.453159825913217	Zheng_2024	LPRD
g__Paeniclostridium	group	LPRD	0.371171171356124	0.261633950441155	151	19	0.158084757694694	0.454411447360123	Zheng_2024	LPRD
g__Subgroup_25	group	LPRD	-0.486034214358897	0.34187334970934	151	52	0.157209171370583	0.454411447360123	Zheng_2024	LPRD
g__uncultured.109	group	LPRD	0.403686954695874	0.284966243676715	151	30	0.158683362570202	0.454411447360123	Zheng_2024	LPRD
g__Fretibacterium	group	LPRD	0.463126540090485	0.327701523073449	151	65	0.159665781175787	0.45464154639885	Zheng_2024	LPRD
g__Defluviitaleaceae_UCG.011	group	LPRD	0.329250720680877	0.234818830640237	151	129	0.162951004767093	0.459070213011211	Zheng_2024	LPRD
g__Stenotrophomonas	group	LPRD	-0.284479352728404	0.202932836686827	151	24	0.163042793906759	0.459070213011211	Zheng_2024	LPRD
g__Rhizobacter	group	LPRD	0.306775235210466	0.221043008469781	151	19	0.167253635280745	0.468310178786086	Zheng_2024	LPRD
g__Akkermansia	group	LPRD	-0.579379408928865	0.421638728765107	151	91	0.171469979955225	0.477463369599081	Zheng_2024	LPRD
g__Escherichia.Shigella	group	LPRD	-0.401095116866166	0.294854744065546	151	67	0.175784920689015	0.486789011138811	Zheng_2024	LPRD
Unclassified_f__Lachnospiraceae	group	LPRD	0.544007630109974	0.400904341071705	151	143	0.176848836610894	0.487059090993939	Zheng_2024	LPRD
g__Filifactor	group	LPRD	0.298471259905658	0.221466043841465	151	150	0.17979834561759	0.492491120604704	Zheng_2024	LPRD
g__Family_XIII_AD3011_group	group	LPRD	-0.346185376533391	0.259308837783555	151	42	0.183902331082925	0.501009593869159	Zheng_2024	LPRD
g__Subgroup_18	group	LPRD	-0.276635489106386	0.208488376310406	151	44	0.18658387780115	0.50558212049344	Zheng_2024	LPRD
g__Helicobacter	group	LPRD	-0.604306312563351	0.457434844869021	151	45	0.188501147136175	0.50804587249536	Zheng_2024	LPRD
g__Bacillus	group	LPRD	-0.930432562155674	0.707707138819555	151	75	0.190625998153322	0.508335995075524	Zheng_2024	LPRD
g__Longimicrobiaceae	group	LPRD	-0.616373707877855	0.467987028355903	151	58	0.189835651083278	0.508335995075524	Zheng_2024	LPRD
g__uncultured.7	group	LPRD	-0.529978158682765	0.412709193447005	151	58	0.201084617326068	0.529118036052989	Zheng_2024	LPRD
g__uncultured.28	group	LPRD	0.513371149498565	0.400208923568525	151	67	0.201568775639234	0.529118036052989	Zheng_2024	LPRD
g__KF.JG30.B3	group	LPRD	-0.259755041590635	0.201764534682298	151	29	0.199945231757497	0.529118036052989	Zheng_2024	LPRD
g__Lacibacter	group	LPRD	-0.154298241628692	0.121239070249509	151	16	0.205114810353066	0.535636603201789	Zheng_2024	LPRD
g__Butyricicoccus	group	LPRD	0.478756039811723	0.381719378633412	151	43	0.211729929084454	0.544810375536674	Zheng_2024	LPRD
g__Lentimicrobium	group	LPRD	-0.459846588189592	0.365456471015128	151	119	0.210258643424545	0.544810375536674	Zheng_2024	LPRD
g__Pontibacter	group	LPRD	-0.360310717347209	0.287370135301718	151	47	0.211870701597595	0.544810375536674	Zheng_2024	LPRD
g__uncultured.4	group	LPRD	-0.278501735942401	0.22466056941251	151	40	0.217051697455918	0.554726901724109	Zheng_2024	LPRD
g__Porticoccus	group	LPRD	-0.413659580060349	0.33432900776695	151	56	0.217928425677329	0.554726901724109	Zheng_2024	LPRD
g__Clostridium_sensu_stricto_1	group	LPRD	0.563507300120857	0.458227758153774	151	128	0.220727576447182	0.557277079828025	Zheng_2024	LPRD
g__Reyranella	group	LPRD	0.190237445630251	0.154835070224071	151	21	0.221141698344454	0.557277079828025	Zheng_2024	LPRD
g__uncultured.119	group	LPRD	-0.168090387020878	0.138010243939278	151	29	0.225165916580818	0.564595134113095	Zheng_2024	LPRD
g__Chryseolinea	group	LPRD	-0.344164080178615	0.285020772466209	151	49	0.229150890872864	0.571742816831303	Zheng_2024	LPRD
g__Quadrisphaera	group	LPRD	0.163635322441071	0.135932047751491	151	22	0.230574945477742	0.57246193359991	Zheng_2024	LPRD
g__Cardiobacterium	group	LPRD	0.345687069325597	0.291119097392503	151	78	0.236942842442257	0.585388198974988	Zheng_2024	LPRD
g__Ga0077536	group	LPRD	0.275912046420297	0.235139077486172	151	30	0.242507996895485	0.591192561736289	Zheng_2024	LPRD
Unclassified_f__Rhizobiaceae	group	LPRD	-0.335537662093468	0.286138477610106	151	43	0.242811230713119	0.591192561736289	Zheng_2024	LPRD
g__SWB02	group	LPRD	0.213407125700331	0.181296513415575	151	35	0.241025917347778	0.591192561736289	Zheng_2024	LPRD
g__uncultured.14	group	LPRD	-0.132443266432642	0.114000616000465	151	18	0.247183795921688	0.596079584423591	Zheng_2024	LPRD
g__Ensifer	group	LPRD	-0.452903771596432	0.389640866335233	151	61	0.246946802724963	0.596079584423591	Zheng_2024	LPRD
g__Corynebacterium	group	LPRD	-0.52521759801116	0.456590577487132	151	139	0.251861834710482	0.601603624142574	Zheng_2024	LPRD
g__Vibrio	group	LPRD	-0.315657409219212	0.273903748781712	151	61	0.250986254623331	0.601603624142574	Zheng_2024	LPRD
g__uncultured.11	group	LPRD	0.292588054622782	0.256582873534089	151	28	0.255980276884905	0.605699810093859	Zheng_2024	LPRD
g__uncultured.50	group	LPRD	0.433555057587524	0.380053025975027	151	43	0.255793749599791	0.605699810093859	Zheng_2024	LPRD
g__uncultured.101	group	LPRD	0.270892112036462	0.239231483921157	151	34	0.259309183606941	0.610709479149057	Zheng_2024	LPRD
g__Succinivibrio	group	LPRD	0.364828583589493	0.323138516445232	151	66	0.260705492565914	0.611142177921956	Zheng_2024	LPRD
g__Psychrobacillus	group	LPRD	-0.202403266191544	0.180071169387753	151	20	0.262812942203927	0.613230198475829	Zheng_2024	LPRD
g__Holdemanella	group	LPRD	0.233087653601945	0.209005215866399	151	19	0.266549879984687	0.617333222411173	Zheng_2024	LPRD
g__Romboutsia	group	LPRD	0.444674878167288	0.399126107753603	151	124	0.267021116042928	0.617333222411173	Zheng_2024	LPRD
g__Odoribacter	group	LPRD	-0.356686479992205	0.323593922091083	151	48	0.272123433076893	0.623410046685245	Zheng_2024	LPRD
g__Subgroup_7	group	LPRD	-0.440713894640328	0.399785478560055	151	68	0.272075676775392	0.623410046685245	Zheng_2024	LPRD
g__Mobiluncus	group	LPRD	-0.174949645564984	0.161075842542025	151	28	0.27917458557948	0.630666889749457	Zheng_2024	LPRD
g__Latescibacterota	group	LPRD	0.188581977532375	0.173388544369244	151	44	0.2785162365044	0.630666889749457	Zheng_2024	LPRD
g__Candidatus_Berkiella	group	LPRD	0.27092374178298	0.250023924484629	151	32	0.280296395444203	0.630666889749457	Zheng_2024	LPRD
g__Microbulbifer	group	LPRD	0.115592428761603	0.10619587296636	151	20	0.278139286411071	0.630666889749457	Zheng_2024	LPRD
g__uncultured.3	group	LPRD	0.236927308633202	0.221337097277901	151	31	0.286153791847704	0.635337053265387	Zheng_2024	LPRD
Unclassified_NA.16	group	LPRD	-0.420885014600227	0.392731444290441	151	140	0.285593611814361	0.635337053265387	Zheng_2024	LPRD
g__Limibaculum	group	LPRD	0.237525088625919	0.221783805624194	151	31	0.285912030575177	0.635337053265387	Zheng_2024	LPRD
g__uncultured.26	group	LPRD	-0.274051240560797	0.256723751116724	151	45	0.287475036352028	0.635471132988695	Zheng_2024	LPRD
g__Arenimonas	group	LPRD	-0.323067703078391	0.30352007261872	151	66	0.288868026077382	0.635761943855898	Zheng_2024	LPRD
g__Colidextribacter	group	LPRD	-0.386978345429574	0.370442055266587	151	60	0.297881507625659	0.652749042797096	Zheng_2024	LPRD
g__AKAU4049	group	LPRD	-0.421567220896581	0.409301274575165	151	66	0.304694032977888	0.664786981042665	Zheng_2024	LPRD
Unclassified_f__Paenibacillaceae	group	LPRD	0.214640662680502	0.209359854211752	151	22	0.306919249194895	0.666755610319944	Zheng_2024	LPRD
g__Oscillibacter	group	LPRD	-0.370917088010057	0.368175380462024	151	45	0.315353389168335	0.676332375067409	Zheng_2024	LPRD
g__Parvimonas	group	LPRD	0.181702063529123	0.180205934539006	151	151	0.314943970588495	0.676332375067409	Zheng_2024	LPRD
Unclassified_f__Comamonadaceae	group	LPRD	-0.472747995713977	0.468699832769075	151	74	0.314783916003705	0.676332375067409	Zheng_2024	LPRD
g__SBR1031	group	LPRD	-0.241581965261304	0.240770418766828	151	34	0.317308758400864	0.677642433195066	Zheng_2024	LPRD
g__Kapabacteriales	group	LPRD	0.166400901404223	0.167937821162812	151	29	0.323366018962349	0.687664445388286	Zheng_2024	LPRD
g__Mogibacterium	group	LPRD	0.278764795177964	0.282946346238553	151	57	0.326112461915057	0.68770159332715	Zheng_2024	LPRD
g__Subgroup_22	group	LPRD	0.247029251536136	0.250649441585685	151	32	0.325948346695737	0.68770159332715	Zheng_2024	LPRD
Unclassified_NA.1	group	LPRD	0.235867601859104	0.241001054470576	151	37	0.329314884005863	0.691561256412313	Zheng_2024	LPRD
g__S15.21	group	LPRD	-0.154101978918049	0.158184818377003	151	22	0.331541406568077	0.693348003777224	Zheng_2024	LPRD
g__Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	group	LPRD	-0.294321246884483	0.303440646746142	151	25	0.3336449374144	0.694863836598585	Zheng_2024	LPRD
g__uncultured.15	group	LPRD	-0.172119103091301	0.178794961863988	151	18	0.33727690501021	0.69953728446562	Zheng_2024	LPRD
g__Nannocystis	group	LPRD	0.254888419518691	0.265963171202784	151	53	0.339433820950691	0.701125597373559	Zheng_2024	LPRD
g__Acholeplasma	group	LPRD	-0.118496284187944	0.125086945900892	151	21	0.3450139674172	0.704301293787305	Zheng_2024	LPRD
Unclassified_f__Chitinophagaceae	group	LPRD	-0.146969688731047	0.154773787081556	151	19	0.343864691958021	0.704301293787305	Zheng_2024	LPRD
g__Zeaxanthinibacter	group	LPRD	-0.236245842225009	0.250189182251341	151	42	0.346560954085817	0.704301293787305	Zheng_2024	LPRD
g__Sphingomonas	group	LPRD	0.525271431995425	0.555059277557922	151	67	0.345510451334252	0.704301293787305	Zheng_2024	LPRD
g__.Ruminococcus._torques_group	group	LPRD	0.307885678350459	0.329197106003026	151	64	0.351166380827872	0.707951423748989	Zheng_2024	LPRD
g__Tannerella	group	LPRD	0.197977604752062	0.211564067840809	151	151	0.350900214169262	0.707951423748989	Zheng_2024	LPRD
g__TK10	group	LPRD	0.184747261773254	0.198305336967872	151	23	0.353034692095584	0.708882409626192	Zheng_2024	LPRD
g__Dokdonella	group	LPRD	-0.273601480620068	0.295637855821752	151	35	0.35622232887499	0.71244465774998	Zheng_2024	LPRD
g__uncultured.55	group	LPRD	0.21734537454666	0.235572146615151	151	39	0.357692875006136	0.712558138352144	Zheng_2024	LPRD
g__Butyrivibrio	group	LPRD	-0.344881594254627	0.378811245287103	151	93	0.364065592203374	0.719655882157669	Zheng_2024	LPRD
g__Iodidimonas	group	LPRD	0.19621051810945	0.215534554245272	151	20	0.364111607044059	0.719655882157669	Zheng_2024	LPRD
g__Tepidiphilus	group	LPRD	0.172896644737715	0.192938827745113	151	33	0.371633327015824	0.731653112562404	Zheng_2024	LPRD
g__Enterorhabdus	group	LPRD	0.244157998554058	0.277884992066549	151	39	0.381016796736834	0.733993307104886	Zheng_2024	LPRD
